problem,c1_star,c2_star,J_star,radius,n_valid,n_failed,S_mean,S_median,S_std,S_max
P1_quad_10_10,0.099,0.3,24.0,0.1,100,0,0.00875,0.0,0.07427516370822267,0.125
P3_quad_1000_10,0.099,0.3,60.0,0.1,100,0,0.0,0.0,0.0,0.0
P5_quartic_1e-4,0.099,0.3,4.0,0.1,100,0,0.0,0.0,0.0,0.0
P7_rosenbrock_2,0.099,0.3,130.0,0.1,100,0,0.06669230769230769,0.05384615384615385,0.0708568003190617,0.3076923076923077
P8_rosenbrock_100,0.099,0.3,625.0,0.1,100,0,-0.014096,-0.0016,0.023499365648003902,0.0256
P9_datafit_2,0.099,0.3,28.0,0.1,100,0,0.08035714285714285,0.14285714285714285,0.08856127461230728,0.21428571428571427
P10_exponential_10,0.099,0.3,13.0,0.1,100,0,0.02846153846153846,0.0,0.28461538461538455,2.8461538461538463
P11_exponential_100,0.099,0.3,13.0,0.1,100,0,0.023076923076923075,0.0,0.23076923076923078,2.3076923076923075
P12_genhumps_5,0.099,0.3,56.0,0.1,100,0,28.74642857142857,0.25,69.76035413373525,247.32142857142858
