method,c1_ls,c2_ls,success_rate,avg_iterations
GradientDescentW,0.0001,0.1,1.0,515.0
GradientDescentW,0.0001,0.5,1.0,516.0
GradientDescentW,0.0001,0.9,1.0,519.0
GradientDescentW,0.001,0.1,1.0,512.6666666666666
GradientDescentW,0.001,0.5,1.0,515.3333333333334
GradientDescentW,0.001,0.9,1.0,516.6666666666666
GradientDescentW,0.01,0.1,1.0,509.6666666666667
GradientDescentW,0.01,0.5,1.0,512.3333333333334
GradientDescentW,0.01,0.9,1.0,513.6666666666666
NewtonW,0.0001,0.1,1.0,11.666666666666666
NewtonW,0.0001,0.5,1.0,13.666666666666666
NewtonW,0.0001,0.9,1.0,13.666666666666666
NewtonW,0.001,0.1,1.0,11.666666666666666
NewtonW,0.001,0.5,1.0,13.666666666666666
NewtonW,0.001,0.9,1.0,13.666666666666666
NewtonW,0.01,0.1,1.0,11.666666666666666
NewtonW,0.01,0.5,1.0,13.666666666666666
NewtonW,0.01,0.9,1.0,13.666666666666666
BFGSW,0.0001,0.1,1.0,16.0
BFGSW,0.0001,0.5,1.0,17.666666666666668
BFGSW,0.0001,0.9,1.0,23.333333333333332
BFGSW,0.001,0.1,1.0,12.666666666666666
BFGSW,0.001,0.5,1.0,15.0
BFGSW,0.001,0.9,1.0,17.666666666666668
BFGSW,0.01,0.1,1.0,12.666666666666666
BFGSW,0.01,0.5,1.0,15.0
BFGSW,0.01,0.9,1.0,17.666666666666668
DFPW,0.0001,0.1,1.0,28.666666666666668
DFPW,0.0001,0.5,1.0,52.0
DFPW,0.0001,0.9,1.0,53.333333333333336
DFPW,0.001,0.1,1.0,16.0
DFPW,0.001,0.5,1.0,16.333333333333332
DFPW,0.001,0.9,1.0,20.666666666666668
DFPW,0.01,0.1,1.0,16.0
DFPW,0.01,0.5,1.0,16.333333333333332
DFPW,0.01,0.9,1.0,20.666666666666668
